InputStoryid,Входное сообщение1,Вход2,InputSentence3,InputSentence4,Случайная пятаяПриговорнаяКвизь1,Случайная пятаяПриговор2,AnswerRightEnding
8a3d4657-67c5-4a8e-91cb-0990a231959c,Боб недавно купил машину своей мечты.,"Единственное, что ему не понравилось, это цвет.","Он отвез его в малярный цех, чтобы перекрасить.","Он прождал неделю, а потом забрал его из магазина.","Боб хотел, чтобы машина была оригинального цвета.","Бобу понравился новый цвет, который он выбрал.",2
58d60722-7371-439b-9803-b761a7d12017,Моя тетя - медсестра.,Она часто говорит о долгих часах на работе.,Прошлая неделя была особенно плохой.,"У нее не было ни одного дня, когда она не работала допоздна.",Это была легкая работа.,Это была тяжелая работа.,2
cdd11ea6-27c8-4940-b657-76e14c756606,Фред только что купил новую патио мебель для своего дома.,Он построил его и установил снаружи себя.,В ту ночь был сильный дождливый шторм.,"На следующий день Фред увидел, что дождь испортил его новую мебель.",Он был разочарован.,Он был доволен.,1
9c07127e-872a-4a81-9815-177f4d562cfd,Джорди счастливо выбежал на улицу.,"Он посмотрел на небо, чтобы увидеть бесчисленные снежинки.",С ликующим лаем он начал строить снеговика.,"Когда он закончил, Джорди задумчиво посмотрел на свое творение.",Он гордился собой.,Ему было стыдно за себя.,1
2f3d8c05-6cab-48cd-93bd-58606d259a5a,Джон был студентом юридического факультета.,Ему было трудно выучить весь материал.,Джон решил что-то с этим сделать.,Он встретился с профессорами и получил дополнительное обучение.,Довольно скоро он встал на ноги и почувствовал себя гораздо увереннее.,"Профессора заверили его, что медицинский колледж - это не пикник.",1
67e74211-eb19-4b3f-8c02-a71922d2f96a,"Гарольд был почтальоном, делающим свою работу.",У него была одна посылка с таинственным адресом.,"Гарольд искал по всему городу, но не смог найти дом.",Он пошел к своему фургону и поискал его в базе данных.,Гарольд решил выбросить пакет.,"Гарольд нашел адрес правильным, но город - нет.",2
5b74d31b-f8f9-481c-8357-975bb275a584,Эми хотела сделать маникюр.,Она пошла в маникюрный салон рядом со своей работой.,"Дама закончила и спросила, не хочет ли она еще и лака для ногтей.",Эми выбрала ярко-красный цвет лака для ногтей.,Эми любила яркие цвета.,Эми ненавидела яркие цвета.,1
b0d3a9eb-5b87-45ca-a12e-cac355c30cbc,Дэвид поехал на выходные в домик у озера Джона.,"Семья Джона владеет лодкой, так что они прокатились.","Это был первый раз, когда Дэвид был на лодке, так что он нервничал.","Лодка ехала быстро, и Дэвид начал веселиться!",Дэвиду было не так весело и он стал больше нервничать.,"Дэвид решил, что ему нравятся лодки после обеда.",2
f231d08c-e6b7-4513-afea-6f5ea21c5ea9,После уроков математики я решил пойти в библиотеку.,Я наверстала некоторые задания.,"Мне пришлось ждать несколько часов, пока мама заберет меня.","С тех пор, как я очень устала, я полностью заснула.",Я не сделала домашнюю работу.,Я встал и пробежал марафон.,1
c181efbd-c6f3-4159-b969-73970763705c,"Это был прекрасный, теплый, осенний день.","Эми решила выйти на улицу, чтобы насладиться погодой.","Она сидела на крыльце и смотрела, как белочки бегают вокруг.","Просто находясь снаружи, она начала поднимать настроение.","Она оставалась снаружи, пока солнце не зашло.","Она не могла дождаться, когда вернется в дом.",1
e66d5835-6a7d-48f0-aa59-9c3bf336454c,В субботу мы пошли на пляж.,Я нанесла солнцезащитный крем перед нашим отъездом.,Я не очень хорошо прочитал инструкцию.,Я не наносил солнцезащитный крем в течение дня.,У меня солнечный ожог.,"Я был очень бледен, когда вернулся домой.",1
4fd8c43e-97a7-44fd-a33b-14059a5b2980,Джейн хотела научиться жонглировать.,"Джейн посоветовалась с профессиональным жонглером, чтобы научить ее.",Джейн ходила в три класса с профессиональным жонглером.,Через три недели Джейн жонглировала.,Джейн была бездарной.,У Джейн был природный талант.,2
8a28a1c6-07c0-48f1-b8ef-7c5f48496bb7,Тим очень любит макароны.,Он готовил его каждый вечер на ужин.,Однажды ночью у него не было соуса для лапши.,"Сначала он не знал, что делать.",Тим решил сделать заказ.,Тим решил больше никогда не есть лапшу.,1
b5db02e8-2275-4bf2-a8dc-a71a3667ea12,"Дедушка спросил Бетти, не хочет ли она выпить.","Бетти сказала, что хочет молока.","Дедушка не знал, хочет ли она шоколад или клубнику.","Бетти не сказала ему, какое молоко она хочет.",Бетти была застенчивой.,Бетти любила делиться своим мнением.,1
740606e4-91dc-461d-ac86-58c4922b34db,Белла сидела у костра со своими друзьями.,"У них у всех были нравы, висящие над огнем, разогретые.",Каждый из них по очереди рассказывал страшную историю.,"Когда наступила ее очередь, она позаботилась о том, чтобы ее лучшая актриса использовала.",Друзья Беллы были очень напуганы ее историей.,Белла молчала и пропустила свою очередь.,1
5f4e3494-27ed-4f2e-95ca-765494b32fb5,"Джаспер заметил, что у него начали появляться перхоть в волосах.",Ему очень стыдно за это.,Джаспер решает купить специальный шампунь против перхоти.,"В конце концов, он заметил, что перхоть исчезает.",Джаспер счастлив.,Джаспер разочарован.,1
84249fb9-80ac-477e-9016-89ce6cd7b14a,Джейн нужна была новая почка.,Только Боб был совпадением.,"Боб не знал Джейн, но это не имело значения.",Боб отдал Джейн свою почку.,Джейн была очень плоха с Бобом.,Джейн была очень благодарна Бобу за его щедрость.,2
571ee98d-9c86-45b2-a9ca-0745f7080699,Эми приехала домой из отпуска.,"Она пошла к багажной карусели, чтобы забрать свой багаж, все сувениры!","Но пока она ждала, она нервничала, не видя своего багажа.","Она пошла в службу поддержки и сообщила им, что ее багаж пропал.","Эми думала, что у авиакомпании отличное чувство юмора.",Эми была в смятении.,2
63ccab33-02f5-49f3-94b5-c8b1bc5ed3bf,Пейдж пыталась бросить курить сигареты.,"Это было тяжело, потому что она курила 10 лет.","Она медленно сократила, сколько курила.",Через некоторое время она перестала испытывать пристрастия.,Теперь Пейдж курит каждый день.,Теперь Пейдж свободна от дыма и счастлива.,2
63c73231-89b3-43ca-abf7-27bd229a92a2,Джина была голодна.,Она была в дороге и ела только сладкие закуски.,"Её отец настоял, чтобы они продолжали ездить, вместо того, чтобы остановить еду.",Ее мать согласилась с ним.,"Итак, Джина страдала от болей в животе.",Джина обезвожена.,1
f0660bda-8871-4efe-a7c1-f589a48f5def,Рэй и его друзья планировали пойти на пляж.,"Итак, Рэй тренировался, чтобы наращивать свои мышцы.","Когда Рэй с друзьями отправились на пляж, они заметили тело Рэя.",Рэй был счастлив быть в центре внимания.,"Рэй бегал в слезах, когда все смеялись и указывали.",Все его друзья завидовали его новому телосложению.,2
4d87b489-5309-46bd-a431-49b799b5b896,Кристин пошла на музыкальный фестиваль.,Одна из любимых групп Кристин должна выступить на фестивале.,"Она узнала, что выступление ее любимой группы отменили.","Кристин расстроена тем, что не увидела их выступление.",Кристин понравилось видеть свою любимую группу той ночью.,Кристин решила не ехать на фестиваль в следующем году.,2
f93b7a73-ffb7-4e8b-8e30-0687592c5767,"Ларри сожалел, что не видел свою тетю несколько месяцев.","Он решил отправиться в долгий путь в Айдахо, чтобы увидеться с ней.",Ларри собрал вещи и поехал в Айдахо.,Его тетя была очень рада его видеть.,Ларри не был рад видеть свою тетю.,Ларри начал регулярно ездить к тете.,2
c988874a-203b-4619-86de-e55d548a15d4,"Эми собиралась купить кофе, чтобы победить свою кофе-аварию.",Но в школе не было кофеварки для детей.,Однако там был автомат с газировкой.,"Эми просто нужно было решить, какая газировка содержит больше всего кофеина.","Эми выбрала пепси, чтобы выпить.",Эми решила купить воды.,1
a31fb268-dabd-46d9-b469-bab87b68e691,"Реба беспокоилась, что она будет убийцей, как и ее отец.",Он сел в тюрьму за убийство.,Реба всю жизнь занималась добрыми делами.,Она стала монахиней и утешала осиротевших детей.,"Реба думала, что поступает правильно.",Реба была похожа на своего отца.,1
9c8aee80-5ae1-4ecc-9aea-1ba7e2db7959,Синди готовила и убирала каждый день.,Она устала готовить и убирать в одиночку.,"Синди сказала, что не будет готовить, пока ей не помогут с уборкой.","У семьи были бобы каждую ночь, пока они не поняли, что она серьезно.",Семья начала помогать.,Семья согласилась продать свой дом.,1
6010b3d4-577e-411c-908f-4e2fce71717b,Джеб любил мятные конфеты.,У него всегда были мятные конфеты в кармане.,"Однажды он увидел в магазине симпатичную девушку, покупающую мятные конфеты.","Он решил, что это знак и смело пригласил ее на свидание.",У Джеба наконец-то было свидание после нескольких месяцев поисков.,"Джеб получил свидание, но больше никогда не ел мяты.",1
8d09a063-8599-4173-989b-af2313b1e6bb,Билли нравилось сидеть у пруда.,Он брал книгу и сидел под деревом.,Его книга была о лягушках.,"Он посмотрел на пруд, и лягушка уставилась на него.",Билли не думал о лягушках.,Билли начал читать свою книгу лягушке вслух.,2
bd1f8248-6f2b-4d10-9fd7-db078ba12313,Я решил добавить новую перьевую ручку в свою коллекцию.,Я видел онлайн-видео с красивой ручкой под названием Pelikan M800.,Так что я пошла в магазин по продаже ручек в моем местном торговом центре.,"В магазине была только модель ручки, которую я хотел.",Я купил ручку.,Я не покупал ручку.,1
e2a4744e-ed5a-4506-84dc-a2a4ad9912e9,Джен была приглашена на рождественскую вечеринку.,Она пошла с близким другом.,"Они пили вино и разговаривали с парами, которые были там.","Когда группа пела колядки, Джен и ее подруга целовались.",Потом она пошла купаться на пляж.,"Она чувствовала, что так и должно быть.",2
345f9565-a35f-4d3e-828d-72ea9b0cc6ba,"Джей поехал на фестиваль куриных крылышек в Баффало, Нью-Йорк.","Он купил билет, чтобы попробовать десятки крыльев.",Он ел всевозможные вкусы крыльев.,Джей был так набит крыльями Буффало в конце фестиваля!,"Джей вернулся домой счастливым, что решил поехать на фестиваль.",Джей хотел бы съесть больше крылышек буйвола.,1
7fd17ffb-154e-47b5-9a12-04b6722ade48,Мои соседи всегда играют громкую музыку.,Днем не так уж и плохо.,"Они также играют ночью, к сожалению.","Я, наконец, спросил их, могут ли они уменьшить громкость.",Они согласились снизить объем.,"Они сказали мне, что не видели мою кошку.",1
4863886b-ffb4-4e81-bdc8-d558165cd443,"Собака Роберта скончалась в прошлом месяце, и он все еще расстроен.",Его жена хочет чем-то отвлечь Роберта.,Она предлагает им пойти за новой собакой.,"Роберт приезжает и обнаруживает, что ему нравится смотреть на щенков!",Роберт начинает чувствовать себя лучше после игры с щенками.,"Роберт решил, что хочет домашнюю кошку.",1
ce6f8088-50ca-4758-b820-ec35933b41e4,Лулу была рада попробовать новый кондитерский магазин в городе.,Она сразу же проснулась пораньше и перебежала к нему.,"К счастью, она была первой, кто приехал.","Как только она вошла, она схватила ведро.",Лулу посадила фруктовые и овощные деревья на своей территории.,Лулу заплатила двадцать пять центов за полное ведро конфет.,2
21c8bd50-e35d-4002-b487-fba08cfeb70b,Мама Терезы была беременна.,"Тереза была взволнована тем, что у нее будет новая младшая сестра.","Однако, когда ребенок родился, она почувствовала обратное.","Она чувствовала, что родители не уделяют ей внимания.",Тереза была грустна и умоляла о внимании.,Тереза была так счастлива.,1
d1218989-f5b7-49bd-9783-a650d73c5aed,Мой сосед по комнате - неряха.,"Он никогда не моет посуду, но всегда ею пользуется.",Я нашел старую с плесенью.,Запах был ужасный.,"Я кричала на свою соседку по комнате за то, что она отвратительна.",С моей соседкой было очень приятно жить.,1
53f5a527-04f1-472c-b8f0-45a92d85dbfc,У моей жены был выходной МЛК.,Она спала и встала только в 10 утра.,Мы неторопливо позавтракали.,"Она смотрела ""Маленький дом в прериях"", пока я каталась в сети.",Потом у нас был расслабляющий вечер на диване.,День был очень напряженным.,1
e832c317-227a-426c-8243-6e8ecc233b21,Кери нянчилась со своей племянницей в будний день.,Ей нужно было уложить ее спать пораньше.,"К сожалению, у племянницы было слишком много энергии.",Кери убедила ее сделать с ней упражнения.,"Потом Кери взяла ребенка на прогулку, чтобы утомить ее.","Кери убедила официанта, что он перезарядил ее.",1
f9498236-c0d7-443e-85ea-3ded1a7c270e,Ким просыпается и решает поехать в торговый центр.,Она приезжает туда и быстро тратит 250 долларов на пару туфель.,"Позже она находит сумочку, подходящую под обувь.","После того, как она купила костюм для матча, она решает отправиться домой.","Ким любила все, что она покупала.",Ким положила свои вещи и решила пойти в кино.,1
6c3e9a76-0976-4597-b600-dcf6766d16fa,Мой старый сосед заходил слишком далеко на Хэллоуин.,Его костюмы были очень сложными.,Однажды он решил стать Джейсоном и спрятаться под дверью гаража.,"Он всех напугал, и весь район пожаловался.",В следующем году он совсем не нарядился.,Он был самым любимым человеком в округе.,1
55b7f15b-6703-4384-a575-2d364bf85030,"Бен ждал на перекрестке, чтобы подбросить своего друга Тома.","Том сказал, что заберет его в 8 вечера, а это было после 9.","Бен был напуган странными звуками, которые он слышал из темноты.","Через некоторое время Том вышел из тени, смеясь.","Бен был раздражен, что Том обманул его.",Бен увидел Тома и побежал за свою жизнь.,1
565504d1-6088-4f15-a592-d7dded841257,Барри любит боулинг.,"Однако ему нужно было найти место, где он мог бы регулярно играть в боулинг.",Барри просмотрел желтые страницы в поисках близлежащего боулинга.,Барри решил пойти в боулинг в субботу на новом месте.,Барри был в восторге от нового переулка.,Барри бросил свой шар для боулинга в бассейн.,1
a506d2c9-1ff5-4094-bfbe-e4e80bc6215a,Семья приготовила еду и упаковала ее.,Они прогулялись до ближайшего парка.,Они выложили одеяло и стали выкладывать еду.,"Все наслаждались сэндвичами, фруктами и многим другим.",У семьи был хороший день.,У семьи был ужасный день.,1
0bce7a95-175d-41d0-bb5d-21e759baf220,Брэд и Элисон любят техасскую кантри-музыку.,"Брэд узнал, что неподалеку проходит концерт.",Он пригласил Элисон пойти с ним на концерт.,Элисон приняла приглашение.,Они оба хорошо провели время на концерте.,Брэд решил пойти вместо этого на рок-концерт.,1
8e39f61f-2d96-460d-b99e-daf36af614f0,Мелисса хотела стать репортером на телевидении.,"Даже с тех пор, как она была маленькой, она тренировалась на камере.",Ее одержимость преследовала ее всю школу.,Она училась в колледже журналистики и получила высокие оценки.,После окончания университета ей предложили работу на NBC News.,"После выпуска она поняла, что ненавидит ""Новости"".",1
2eddce77-d52b-4352-914d-ef4a7b787e56,"Снег выпал так сильно, что школу отозвали на целый день.","Мальчики надели пальто, шляпы, перчатки и ботинки и вышли на улицу.",Они построили высокий снеговик и снежную крепость.,У них была снежная драка.,"Они сняли одежду, чтобы позагорать.","Они зашли внутрь, чтобы поджарить зефир.",2
7f0ff4e8-3c77-41a5-8107-916dd66cb22d,Я шел в торговый центр.,"Кто-то звонил мне, и я решила вытащить свой телефон.","Мне было трудно вытащить его, так как мои карманы были плотными.",Телефон в итоге выпрыгнул из моего кармана.,"Я решил, что обтягивающие джинсы - это всегда хорошая идея.",Я чуть не сломал телефон.,2
30714d1c-ab3d-4084-9084-5a44f39e0df4,Гарри нервничал из-за своих оценок.,Недавно Гарри провалил тест по математике и тест по английскому.,"Требуется, чтобы у Гарри были хорошие оценки, чтобы быть в футбольной команде.",Тренер Гарри узнал о его неудачных оценках и поговорил с ним.,"Если Гарри не улучшит свои оценки, он выйдет из команды.","Гарри и его тренер согласились, что Nike делает хорошие кроссовки.",1
6b0839e1-5e9f-4c62-919c-5c8f73e016aa,Эван жаловался на все.,"Его девушка начала готовить ему ужин, но он сказал, что он плохо пахнет.",Она была так оскорблена!,"Она ушла посередине готовки, оставив еду незавершенной.",Она порвала с Эваном.,Эван был доволен.,1
d1857e28-aa9a-4afe-9132-ab27a8477924,"Джон смеялся над сестрой, когда она сказала, что йога - это тренировка.","Он думал, что находится в отличной форме, потому что играет в баскетбол.",Однажды сестра взяла его на занятия йогой.,Он не мог поспевать за всеми женщинами.,Джон чувствовал себя униженным.,Джон чувствовал гордость.,1
0d5e139a-4fe1-4652-85b5-7979d430391d,Эйве нужно было пойти по магазинам с двухлетней девочкой.,"Но она не могла найти его туфли даже после того, как искала везде!","Она решила, что у нее нет другого выбора, кроме как купить ему новые туфли.","Она отнесла его в магазин, чтобы выбрать новую пару.",Эйва была небрежной матерью.,Эва хорошо заботилась о своем сыне.,2
58735e26-2846-48fd-becf-e5f204ab1a95,Гарри устал от жарких летних дней.,Он решил поплавать с друзьями.,Гарри позвонил своим друзьям и составил планы.,"Они все встретились на местном озере, выпили пива и поплавали.",Гарри и его друзья отлично провели время на озере.,Гарри всегда ненавидел воду.,1
40a7c1fb-7e4d-4c4a-9e70-aaddb1697b13,Дэнни хотел научиться готовить жареный рис.,Его друг решил его научить.,Его друг пошел к нему домой и научил его.,Дэнни пытался сделать это для себя.,Дэнни ненавидел девушек.,Дэнни отлично поработал.,2
4149fd90-e58e-415d-ad22-f41dd5ae98a8,Меган была нанята на должность Ученого II в компанию.,Она любила свою работу и была очень хороша в ней.,Через год Меган захотела больше ответственности на работе.,Она поговорила со своим боссом и провела оценку.,"Меган надеялась, что ее повысят.",Меган решила бросить работу.,1
56122b9c-8efb-40de-a343-88f7533689e1,Кор разбила родителям стеклянную антикварную вазу.,Она боялась быть пойманной.,Она подметала стекло под ковер.,Её родители пришли и забрали их обувь.,Родители Коре повредили ноги на стекле.,Они решили поздравить Кор.,1
7af07696-728f-4f63-b975-69c0a251d8f9,Боб получил кубик рубикса на Рождество.,Он пытался решить головоломку.,"В конце концов, он смог решить половину проблемы.",Но полное решение осталось недостижимым.,"Боб усердно работал, а потом, наконец, решил головоломку.",Боб бросил видеоигру.,1
3b172e2b-ab39-4278-8ca5-ad5f5d906743,Сьюзи решила приготовить бабушкин соус спагетти.,Она сделала соус.,Она добавила грибы.,Она добавила приправы.,Отношения Сьюзи с бабушкой оставались сложными.,"Сьюзи попробовала соус, и он был правильный.",2
2b6218cf-27eb-4dc3-addb-84cee6617e80,На прошлых выходных я хотел купить туфли.,"Мне нужна была новая пара с работы, так что мне пришлось искать место, куда пойти.","Я решил, что торговый центр - это большое разнообразие.","Как только я туда добрался, я быстро пошел в магазин, который выбрал.",Я нашел идеальную пару туфель и купил их.,Я купил тако в фуд-корт.,1
95ca9c40-0826-4efd-9f2f-0bc3828e1dff,У Габи не было много денег.,Она работала за минимальную зарплату.,Остальные деньги она потратила на лотерейный билет.,Она вернулась домой и поцарапала его.,"Она надеялась, что билет будет победителем.","Прежде чем закончить, она решила, что это пустая трата времени.",1
238532df-07c1-4db7-9ac8-1b5aa86a92d5,Дедушке Энни нужна была пересадка сердца.,Он был в больнице очень долго.,"Когда произошла пересадка, вся ее семья была напугана.","Тем не менее, он выздоровел с большим здоровьем.",Семья Энни была довольна результатом.,Семья Энни была грустной.,1
a99209f1-2b57-4b5e-9216-0606cc005e90,"Когда мне было пять, я переехал.",Мне пришлось пойти в новую школу.,В первый день мне было одиноко.,Ребенок подошел ко мне и представился.,Я чувствовал себя менее одиноким.,Я чувствовал себя более одиноким.,1
131cc240-f6e0-4a76-81b8-aa6daf09e8f4,Ларри боялся высоты.,"Он всегда планировал свои путешествия, чтобы избежать высоких мостов.","К несчастью для Ларри, однажды его перенаправили на другой маршрут.","Ларри начал потеть, когда увидел нависший над ним мост.","Он развернулся, чтобы выбрать другой маршрут.","Ларри смеялся от радости, когда ехал по мосту.",1
c19bebdd-ac5b-413e-9052-1a5e15e5b31c,Джефф очень быстрый мыслитель.,"Он может выйти из любой ситуации, в которой не хочет быть.","Все, что ему нужно сделать, это придумать отговорку на месте, чтобы уйти.","Он часто этим пользуется, когда не хочет больше разговаривать со своими родственниками.",Джефф любит навещать родственников.,Джефф ненавидит проводить время со своими родственниками.,2
d1eef4fb-c303-4226-9519-54211561b425,Бин решила помыть кошку.,Она забрала свою кошку с палубы.,Потом она наполнила ванну водой.,"Бинь запихнул кошку в воду, чтобы вымыть ее.",Кошка оказалась в грязном беспорядке.,Кошка оказалась скрипучей чистой.,2
006aa20e-51a7-48ea-8e1d-572f24cf1551,Я заказал семейный ужин в китайском ресторане.,"Как только я положил его на стол, моя семья напала на него.",Они много ели из еды.,"После того, как все поели, еды не осталось.","Я был счастлив, что мы нашли новый любимый ресторан.","Я сказал менеджеру, что хочу подать жалобу.",1
afd57a88-0c82-4116-a43f-6fcb8fdc9c09,"Бен не обращал внимания, когда проходил мимо подоконника.",Он помахал рукой.,"Он ударился о кактус, сидящий в окне.",Его рука была полна маленьких игл.,Рука Бена чувствовала себя отлично.,"У Бена была больная рука, и ему пришлось вытаскивать все иглы.",2
ecd647bb-a30b-405d-913e-3a19011b092d,На этой неделе была очередь Нейта подметать пол.,"Он, как известно, был ленив.","Он решил заплатить своему соседу, чтобы тот сделал это за него.",Сосед по комнате взял деньги и никогда не делал работу.,"Нейту было тяжело работать, чтобы противостоять ему.",Нейт смеялся со своими друзьями над поведением своей собаки.,1
d0bd7fc2-5e86-4ffa-9f98-a0a166ce3d47,Елена была маленьким человеком и была очень неуверенной в себе.,"Она думала, что никто не захочет с ней встречаться.",Однажды она встретила очень милого полноразмерного мужчину.,"Они начали встречаться, и он принял ее состояние.",Он сделал Елене предложение через полгода.,Он привел полноразмерную женщину на праздничную вечеринку своей компании.,1
a08e92e0-8aab-4f08-8bad-799b20d8b750,"Когда Джей узнал, что ее старшая сестра беременна, она нервничала.","Пока она радовалась за свою сестру, она боялась быть тетей.","Джей знал, что будет большая ответственность.","Но потом, наконец, она вернулась домой из школы и увидела своего племянника.",Джей считал ее племянника уродливым.,"Джей сразу понял, что ее страхи необоснованны.",2
17277360-5208-4dc2-b98f-da9dea534211,Дарья купила телевизор для своей гостиной.,Она попросила магазин доставить телевизор к ее дому.,"Когда пришел телевизор, Дарья была взволнована.",Телевизор был ее любимой вещью.,Дарла включила телевизор и начала смотреть фильм.,Дарла разбила свой телевизор граблями.,1
cbdf5369-ed2d-4534-9e68-7e1641969043,Белые розы были любимым цветком Лилли.,Она вырастила их в своем саду.,Однажды она ударила пальцем о шип.,Она ничего об этом не думала.,Палец Лилли пришлось ампутировать.,"Ублюдок заразился, и ей пришлось принимать антибиотики.",2
816af3a0-0d30-4901-bb69-dc905f107636,Мать Джимми заболела в больнице.,Он поехал навестить ее в больницу.,Джимми принес ей цветы и открытку.,Ее мать была очень милосердной.,Мать Джимми начала поправляться.,Джимми ненавидел свою мать.,1
df8c7222-a0e5-4723-ae50-e2e77e5d2410,У Сэмми однажды утром ужасно заболел живот.,Но она заставила себя пойти в школу.,"Подойдя к автобусу, она подумала о том, чтобы повернуть назад.","Но она чувствовала, что уже слишком поздно передумать.","Она сидела на обочине и смотрела, как мимо нее проезжает автобус.",Она ходила в школу и страдала от боли.,2
690bf721-0de0-440e-a9ed-69b056fc63b4,Кармен была готова к поездке в Танзанию.,Она взяла такси до аэропорта.,Она быстро прошла через службу безопасности аэропорта.,Она успела успеть на рейс и нашла свое место.,"Самолет взлетел, а Кармен расслабилась.",Кармен немедленно вышла из самолета.,1
91f9d1d9-934c-44f9-9677-3614def2874b,Сэнди жил в Нью-Йорке.,"Сэнди слышала об опасном снежном шторме, приближающемся к ней.","Сэнди решила удостовериться, что ее дом подготовлен.",Во время метели отключили электричество.,Сэнди решил выйти на улицу и сделать снеговика.,Сэнди был подготовлен.,2
322bbb17-93b9-4a7d-9533-4b1689d2c8ac,Квентин обычно не любит ходить на корпоративные мероприятия.,"Хотя он не возражает против коллег, ему нравится, когда его оставляют в покое.",Однажды он решает посетить корпоративную вечеринку.,"Он ест картошку фри, чтобы не чувствовать себя неловко.",Квентин получил удовольствие от вечеринки.,"Квентину нравилось, что все они были вместе со всеми людьми.",1
d5ddd22e-a842-43f0-ac12-1968e25a6692,"Я использую ""Мистер Спайс"" без натриевого соуса.",Я на низконатриевой диете.,Вчера я пытался купить несколько бутылок в интернете.,"Компьютер продолжал отклонять мой заказ, даже несмотря на то, что карта была активна.","Я был счастлив, как легко сделать заказ.",Наконец-то продажа прошла.,2
be1b3d0d-1d1c-431d-8d08-a0585bd1b57a,"Дэн хотел пойти в школу на Хэллоуин, одетый как Дьявол.",Он боялся просить у отца костюм.,Вместо этого он спросил бабушку.,"Она сказала ему, что дьявол - это зло.",Бабушка Дэна уже была одета как дьявол.,Дэн сделал свой собственный дьявольский костюм.,2
7aec4c2f-addd-433b-bf51-3fccc53b35bb,"Я купил рогатую жабу, когда мне было десять.",Это было в универмаге.,Жаба выглядела очень свирепо.,"Мы пытались накормить его, но он не ел.","В конце концов, рогатая жаба умерла от голода.",Через несколько недель рогатая жаба была очень жирной.,1
ac3d0720-2b2c-4700-be89-c59ede839c4c,Сегодня я впервые встретил Нэнси.,"Перед тем, как она ушла, мы обменялись телефонными номерами.","Несмотря на то, что она ходила на минуту, она постоянно мне писала.",Я решил позвонить ей и попросить перестать звонить мне.,Она любила есть бананы.,Я больше ничего о ней не слышал.,2
a51306ff-2184-4744-88ca-83145944ed38,"Вчера Келли отправилась в СВ, чтобы купить конфет.","Она ходила по проходам, чтобы найти то, что хотела.","Однако, к ее удивлению, она столкнулась со старым другом.",Они немного поговорили.,Оба были арестованы.,Её подруга в конце концов купила конфеты для неё.,2
6fba848e-7b8c-4d7b-9eab-40f8d2add906,У Дона в первый день в доке была небольшая икота.,"Он нервничал, находясь рядом с тяжелой техникой.",В какой-то момент он сбросил тяжелую партию.,Это чуть не сбило коллегу.,"Дон был рад, что он не нервничал на работе.","Дон знал, что ему придется улучшить.",2
247bcc69-4e51-4a1b-ae20-839ab1df13c9,"Далу нужны были деньги, чтобы пойти в колледж.",Он начал вести бухгалтерию для местной банды.,"Когда федералы напали на банду, он просматривал их книги.",Он был случайно застрелен при перестрелке.,Дал принял плохое решение.,Дал принял умное решение.,1
c428bf27-8192-4ad2-9b66-dd07314804bd,Сегодня в школе был день фотографии.,"Элис была так взволнована, потому что мама купила ей новый наряд.","Она встала и оделась, а мама поправила волосы.","Фотограф сказал, что она очень красивая.","Элис чувствовала себя хорошо после того, как фотограф дополнил ее.",Элис нахмурилась во время фото.,1
37d942c0-21f8-4cde-be56-abb85318a379,Маме Нилы поставили диагноз рак четвертой стадии.,"Нила знала, что ее маме недолго осталось жить.","Нила позаботилась о том, чтобы обеспечить маме хорошую жизнь до самой смерти.","Нила навела много хороших воспоминаний о своей маме, и они были счастливы.",Нила не заботилась о своей матери.,Нила любила свою маму.,2
